"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04611","Platelet activation","4/13","126/9396",0.0317460317460317,22.9450549450549,9.23062883445635,2.00745562435265e-05,0.00198738106810913,0.00169048894682329,"6916/23533/3937/23236",4
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","4/13","212/9396",0.0188679245283019,13.6371552975327,6.92708514263785,0.000153501716507897,0.00759833496714092,0.00646323016875357,"8631/2533/3937/23236",4
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","3/13","138/9396",0.0217391304347826,15.7123745819398,6.48056601310221,0.000795946680357915,0.0220221384027948,0.0187322814696819,"2533/3937/4775",3
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","3/13","155/9396",0.0193548387096774,13.9890818858561,6.06923605120256,0.00111523395166264,0.0220221384027948,0.0187322814696819,"23533/4775/23236",3
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","3/13","157/9396",0.0191082802547771,13.8108770210681,6.02511603249715,0.00115739348126945,0.0220221384027948,0.0187322814696819,"896/28996/4775",3
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","3/13","166/9396",0.0180722891566265,13.0620945319741,5.83613234125886,0.00135963939880309,0.0220221384027948,0.0187322814696819,"23533/4775/23236",3
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","3/13","174/9396",0.0172413793103448,12.4615384615385,5.68007658670731,0.00155712089716731,0.0220221384027948,0.0187322814696819,"896/4775/23236",3
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","3/13","193/9396",0.0155440414507772,11.2347548824233,5.34737448729205,0.00209634730183039,0.0240995924878092,0.020499387549439,"57580/23533/23236",3
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","3/13","196/9396",0.0153061224489796,11.0627943485086,5.29909773268,0.00219087204434629,0.0240995924878092,0.020499387549439,"57580/23533/4775",3
