"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HBEGF",3.72590811962924e-21,4.08496216563475,0.28,0.04,9.38518996253409e-17
"ATG7",3.95910352353381e-21,-1.15975612437389,0.592,0.798,9.97258586542931e-17
"MARCH1",7.37165300681802e-21,-1.83414264013877,0.191,0.516,1.85684567588739e-16
"MT-CO3",7.49326366909711e-21,1.67857103589455,0.595,0.321,1.88747818560887e-16
"MT-CO2",8.29372280356757e-21,1.80893749290041,0.587,0.316,2.08910583699064e-16
"MAMLD1",1.20610197443914e-20,3.84212251035743,0.234,0.015,3.03805026341474e-16
"STARD13",1.65043191123055e-20,-1.47040519963395,0.185,0.533,4.15727294119863e-16
"MT-ND2",2.35389941006526e-20,1.51838058547236,0.598,0.289,5.92923722401337e-16
"ARHGAP15",2.5030694021054e-20,-1.31176979885525,0.373,0.681,6.30498151696329e-16
"CD9",2.78800053879682e-20,2.38019633470037,0.431,0.153,7.02269455717531e-16
"CMIP",3.23101025548068e-20,1.1746052495616,0.786,0.57,8.13859173253029e-16
"RASGEF1B",3.99578760370516e-20,1.49008750589957,0.627,0.353,1.00649893949729e-15
"PREX1",5.26212580042758e-20,-2.19127976431956,0.165,0.467,1.3254768678697e-15
"RCSD1",5.86252875603326e-20,-3.29164347971192,0.032,0.284,1.47671236835722e-15
"ATG10",9.42641181349432e-20,-4.28075143177816,0.014,0.244,2.37441887170108e-15
"MT-CO1",1.60032038125087e-19,1.57565586131595,0.63,0.393,4.03104700833281e-15
"MT-CYB",1.69235985401768e-19,1.74443717903199,0.52,0.23,4.26288523628513e-15
"RAPGEF1",1.85243052761593e-19,1.05139388073555,0.827,0.593,4.66608725601177e-15
"RGL1",1.99137284047846e-19,-2.07822882166139,0.09,0.378,5.0160690478812e-15
"RNF149",2.23518889501449e-19,1.04679498993577,0.766,0.509,5.63021730765199e-15
"HSP90AB1",2.84063286058975e-19,3.18277589211306,0.243,0.025,7.15527011253951e-15
"HSPH1",4.03362380249049e-19,3.63858554643495,0.275,0.044,1.01602949960933e-14
"CMKLR1",4.39627638100429e-19,-3.73375259883896,0.012,0.235,1.10737805761117e-14
"FN1",4.62546730719977e-19,1.48318535675848,0.601,0.301,1.16510896001055e-14
"AP005262.2",7.77768284212309e-19,4.0318313081553,0.211,0.012,1.95912053110239e-14
"PSAP",9.90651809505082e-19,1.42656061483275,0.569,0.291,2.49535284296235e-14
"ANPEP",1.09026002060325e-18,2.52617143623693,0.286,0.052,2.74625596589754e-14
"PPARG",1.1586835527761e-18,1.52142717314341,0.65,0.41,2.91860800108773e-14
"ELMO1",2.21452065913247e-18,-0.915612153425784,0.728,0.864,5.57815608828878e-14
"TMSB4X",3.77174895545351e-18,1.59134751935372,0.439,0.16,9.50065844389184e-14
"AL163541.1",6.50964216785806e-18,-4.86969138954414,0.012,0.22,1.63971376566177e-13
"MT-ND5",7.60724665362801e-18,1.65718775584935,0.48,0.202,1.91618935958236e-13
"HDAC9",1.60175698516506e-17,-2.60334267098932,0.107,0.37,4.03466566993228e-13
"GPCPD1",1.93721920826696e-17,1.29710644721447,0.685,0.489,4.87966146370365e-13
"SLC8A1",2.42514869163561e-17,-0.974687728600245,0.63,0.822,6.10870703936093e-13
"FBP1",2.47392021027205e-17,1.81496717639163,0.488,0.222,6.23155761765428e-13
"KCNMA1",2.58018013266052e-17,-1.65789627580541,0.503,0.726,6.49921573615859e-13
"ZDHHC14",1.18980504656962e-16,-2.93683386272449,0.075,0.311,2.99699993180423e-12
"MALAT1",1.52118668981888e-16,0.366110598050255,1,0.995,3.83171715298477e-12
"FOSL2",1.86890115861271e-16,4.3569558898672,0.211,0.025,4.70757512842955e-12
"FTL",2.09386290673705e-16,0.719236162878445,0.514,0.225,5.27423127577996e-12
"BMP2K",4.58343154756348e-16,-1.58269943842198,0.338,0.573,1.15452057251576e-11
"ARHGAP24",6.06034329995034e-16,-1.47701306824663,0.344,0.588,1.52653987382449e-11
"C5AR1",6.2887253687708e-16,2.90298140699938,0.292,0.077,1.58406703313968e-11
"CD84",7.93243344206068e-16,-3.97806158101523,0.017,0.21,1.99810065972066e-11
"ACTN1",8.14871268311582e-16,2.05286245406115,0.329,0.099,2.05257923775004e-11
"ARHGAP22",1.44818534003265e-15,-2.37905556122094,0.049,0.269,3.64783405300825e-11
"MOB3B",1.64348648754789e-15,1.21404089030762,0.673,0.432,4.13977811348439e-11
"SLC11A1",2.20780043835477e-15,0.91610343753518,0.682,0.368,5.56122852417183e-11
"MS4A4A",2.26912269836839e-15,-1.75716747711196,0.179,0.444,5.71569316492013e-11
"PRKACB",3.20220578224618e-15,-2.5674102750241,0.055,0.272,8.06603614489991e-11
"CSF1R",4.08038349316562e-15,-2.38423782233111,0.124,0.358,1.02780779809349e-10
"AC010894.3",4.42256741700406e-15,-2.04725284225845,0.075,0.306,1.11400050666915e-10
"MT-ATP6",4.44174120559422e-15,1.14446969675225,0.587,0.319,1.11883019227713e-10
"AC092691.1",5.01589596397537e-15,0.967664756589785,0.569,0.274,1.26345403436575e-10
"FBXO34",5.11893881958339e-15,2.02710966322273,0.416,0.183,1.28940949926486e-10
"NPAS3",6.25601658499569e-15,-2.57432152490612,0.058,0.274,1.57582801759456e-10
"INPP5A",6.69684969759783e-15,3.23508871310514,0.246,0.052,1.68686947032792e-10
"F13A1",7.3911051426675e-15,-2.18622569554762,0.173,0.417,1.86174547438652e-10
"MX1",8.67892160305131e-15,2.70701713562229,0.28,0.077,2.1861335625926e-10
"PSTPIP2",1.00191023322347e-14,-3.46464367194477,0.026,0.215,2.5237116864666e-10
"AC009690.2",1.11459237594943e-14,-3.11216503973434,0.043,0.244,2.80754673577903e-10
"SAMSN1",1.18464335235146e-14,2.4380857165175,0.416,0.19,2.9839981402381e-10
"CSNK1A1",1.1932545034097e-14,1.19399371403453,0.595,0.37,3.00568876863869e-10
"ENTPD1-AS1",1.21658970168973e-14,-1.65198624868988,0.176,0.437,3.06446779958627e-10
"EEF1A1",1.41343121565807e-14,2.30543489699082,0.223,0.037,3.56029188912111e-10
"SLC19A3",1.78985496802612e-14,2.87583320867633,0.254,0.062,4.50846567896101e-10
"STARD13-AS",2.18214174819094e-14,-2.93863607014292,0.049,0.252,5.49659684951816e-10
"HIF1A",2.78063271547858e-14,2.61091560278431,0.416,0.195,7.004135747019e-10
"DLEU1",2.80151237737706e-14,-1.38199448069667,0.321,0.556,7.05672952737508e-10
"FAM53B",3.60128954013324e-14,-1.45085350622727,0.188,0.44,9.07128822264161e-10
"APBB1IP",3.97360474263295e-14,-1.87258959955924,0.188,0.432,1.00091129862181e-09
"UST",4.29373337512688e-14,1.71806710045838,0.448,0.205,1.08154849986071e-09
"APP",4.94643584527519e-14,3.04662403815239,0.205,0.032,1.24595772506637e-09
"FLI1",5.02557475555964e-14,-1.50238622639033,0.275,0.521,1.26589202517792e-09
"GNAQ",5.13921260804437e-14,-0.865134979825729,0.656,0.812,1.2945162638403e-09
"EVL",5.31047623134336e-14,1.66860928064337,0.483,0.262,1.33765585791308e-09
"RUNX1",5.73991234648863e-14,0.805269456260794,0.801,0.63,1.44582652095702e-09
"SLC8A1-AS1",5.98405806342068e-14,-1.31246070137741,0.191,0.452,1.50732438559503e-09
"MGAT4A",7.54591404388371e-14,-1.91391238369221,0.136,0.365,1.90074028851387e-09
"MX2",7.67141109867507e-14,2.91762572936782,0.269,0.074,1.93235174164526e-09
"PDE8A",8.61397756959743e-14,1.26561348667249,0.601,0.395,2.1697748100059e-09
"DISC1",1.04165259843735e-13,-1.21303345561937,0.26,0.526,2.62381873020383e-09
"GAS7",1.16889028084489e-13,-1.23024589740777,0.312,0.556,2.94431772842018e-09
"TPT1",1.21417981540553e-13,2.83483008586162,0.214,0.04,3.05839753702499e-09
"MT-ATP8",1.50678452611634e-13,1.78734454781274,0.37,0.151,3.79543954283444e-09
"LRRFIP1",2.45054948206809e-13,0.77472148532787,0.775,0.612,6.1726890903813e-09
"CRIM1",3.45847132087558e-13,-1.92959058669197,0.029,0.21,8.7115434101535e-09
"CTNNA1",3.88825114923446e-13,1.44988038857578,0.514,0.296,9.79411581980667e-09
"FAM117B",4.89829627221651e-13,-3.0210300198083,0.035,0.212,1.23383184800862e-08
"TGFBR2",4.94068055949026e-13,-1.42904069644288,0.197,0.442,1.24450802613e-08
"LONRF3",5.20772081178606e-13,1.9825536761999,0.338,0.126,1.31177279528079e-08
"SIPA1L1",5.22156608276859e-13,1.6082897671614,0.749,0.546,1.31526028058858e-08
"MACC1",5.29431228048728e-13,1.51336853508219,0.445,0.212,1.33358432033194e-08
"CCDC18-AS1",5.29476529585552e-13,-2.09196683487187,0.121,0.338,1.33369843037305e-08
"IL13RA1",6.30371611011137e-13,-2.04201404288163,0.078,0.284,1.58784305097595e-08
