"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","5/21","81/9396",0.0617283950617284,27.6190476190476,11.3871749829568,7.67526766587013e-07,7.63106418385203e-05,6.5170955294069e-05,"3320/567/3303/3115/3326",5
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","6/21","171/9396",0.0350877192982456,15.6992481203008,9.18083939082065,1.43982343091548e-06,7.63106418385203e-05,6.5170955294069e-05,"3320/3303/10808/4780/3326/23645",6
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","4/21","109/9396",0.036697247706422,16.4193971166448,7.66329106528335,8.80918878383244e-05,0.00287577064013762,0.00245597095384146,"3320/3115/3326/3091",4
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","4/21","115/9396",0.0347826086956522,15.5627329192547,7.43646982165008,0.000108519646797646,0.00287577064013762,0.00245597095384146,"10672/3727/4929/5141",4
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","3/21","95/9396",0.0315789473684211,14.1293233082707,6.08711805661307,0.00116697650488231,0.0211166041634389,0.0180340412915168,"3320/3326/3727",3
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","4/21","216/9396",0.0185185185185185,8.28571428571429,5.12684364051467,0.00119527948094937,0.0211166041634389,0.0180340412915168,"3320/3303/4780/3326",4
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","3/21","139/9396",0.0215827338129496,9.65673175745118,4.86629721056584,0.00346658841735641,0.0487830655606079,0.041661803755832,"3320/3303/3326",3
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","3/21","142/9396",0.0211267605633803,9.45271629778672,4.80339297747552,0.00368174079702701,0.0487830655606079,0.041661803755832,"3320/4780/3326",3
