"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CARMIL1",6.25300437508884e-06,-2.60659773291998,0.092,0.353,0.157506927204113
"GMDS-DT",6.56265780569435e-06,-2.38194349820586,0.061,0.314,0.165306787467635
"RAB1A",7.65664343394741e-06,2.13854266036715,0.449,0.196,0.192863191457701
"ULK2",8.03418419457862e-06,-3.38183536052156,0.02,0.235,0.202373065677241
"XPR1",8.29752435153306e-06,-1.85381220045897,0.143,0.431,0.209006340890766
"RAPGEF1",9.73016368809186e-06,1.08595549976568,0.735,0.52,0.245093093139346
"CPVL",9.76678002045963e-06,-2.03185048603809,0.092,0.363,0.246015421935358
"S100Z",1.11174005558031e-05,-1.39753226727275,0.153,0.451,0.280036202600125
"AC087286.2",1.15450721031395e-05,-2.04500556828863,0.061,0.314,0.290808821205982
"HLA-DRB1",1.21367761891788e-05,-3.08446309209876,0.041,0.265,0.305713255429224
"HIST1H2AC",1.21822270522719e-05,5.30485355093954,0.214,0.02,0.306858117219678
"CAMK1D",1.54149356178923e-05,-1.13152611020951,0.418,0.735,0.388286813279088
"SSH2",1.66126344860098e-05,-0.751743457831716,0.592,0.833,0.418455650068101
"MYO9A",1.78689302956449e-05,-2.76759661057819,0.031,0.245,0.450100485216999
"AC079793.1",1.83235448286391e-05,-2.31011378765135,0.071,0.314,0.461551770688591
"RNF144B",2.24476296377182e-05,-1.11618334659663,0.327,0.627,0.565433342944484
"RASGEF1B",2.3864171388845e-05,2.54099959652083,0.357,0.127,0.601114613113618
"ITGA4",2.52760369201123e-05,-1.2503149501523,0.194,0.5,0.636678093980708
"PRKN",2.54170198844847e-05,-2.97622100616258,0.02,0.216,0.640229313870286
"SYK",2.66571579499337e-05,-1.44111994254252,0.122,0.392,0.671467151600881
"SRGAP2B",3.39228868857784e-05,-2.51989771472525,0.031,0.235,0.854483597765873
"GBP2",3.40499084447334e-05,2.34303940816891,0.327,0.098,0.85768314381439
"VSIR",3.71401193893651e-05,-1.44632819072741,0.153,0.441,0.935522467298718
"ITPR2",3.95759766395285e-05,-1.28356346994143,0.194,0.49,0.996879275573083
"MX2",3.98770492974501e-05,1.82238376325467,0.408,0.167,1
"RTN1",4.31908639907554e-05,-2.40527020714009,0.051,0.265,1
"BICRAL",4.53817046313901e-05,-2.67389165482424,0.051,0.265,1
"CD44",4.69984238568048e-05,1.56025367322727,0.51,0.284,1
"LST1",4.98665746506194e-05,-1.48950844890201,0.112,0.382,1
"MALT1",5.1794890383364e-05,2.90767850777676,0.327,0.118,1
"YPEL2",5.44589223781767e-05,-2.69686670899105,0.031,0.225,1
"MYO9B",5.470540970045e-05,1.33690839974856,0.592,0.392,1
"STK39",5.99784581747224e-05,-2.28495886547123,0.041,0.245,1
"CALM2",6.05837870018751e-05,-2.63714343009143,0.031,0.225,1
"HK2",6.1122615186856e-05,4.52042183458335,0.224,0.039,1
"DPYD",6.37417361343665e-05,-1.05060557077098,0.602,0.804,1
"SMCHD1",6.53784803859039e-05,1.22321714426577,0.643,0.52,1
"AFF1",6.71519141968593e-05,-1.00322377692425,0.153,0.422,1
"RBM25",6.75590277532942e-05,-0.947168625930652,0.224,0.529,1
"MIR181A1HG",7.14418493366669e-05,-1.69612425893126,0.173,0.431,1
"ST6GAL1",7.91454562954358e-05,-1.50675040248072,0.122,0.373,1
"SLC2A3",8.23237689227907e-05,4.84159212659569,0.204,0.029,1
"SIK3",8.6786065407144e-05,1.18716241646541,0.622,0.431,1
"SEMA4D",9.23198881847196e-05,-1.37592205985126,0.112,0.353,1
"GNG2",9.37162561602794e-05,-1.88211066571074,0.082,0.304,1
"WDFY4",9.84948386848187e-05,-2.77831213660781,0.031,0.216,1
"STAG2",0.000101632867847968,2.60185284876816,0.265,0.069,1
"BAZ2B",0.000111420982917831,-1.65669585985514,0.163,0.402,1
"B4GALT5",0.000115782430462406,2.18022930881212,0.367,0.157,1
"ITPR1",0.000119866804554624,-2.16616197228047,0.041,0.235,1
"CTSS",0.000126555587233394,-1.01775887919875,0.245,0.529,1
"ATR",0.000135518179468813,-1.35929962083056,0.082,0.304,1
"FNDC3B",0.000136398178982383,1.90144476468457,0.551,0.412,1
"CCSER2",0.000153989835157947,-2.569919937504,0.031,0.206,1
"FAM172A",0.000160362123639518,-1.12012055653658,0.224,0.51,1
"FLNA",0.000161857755373515,2.06969254758728,0.316,0.108,1
"MT-ND1",0.000162541732854176,-0.906371656013869,0.276,0.549,1
"CHD1",0.0001848274813345,1.24442862470617,0.541,0.324,1
"FRY",0.000197926460852701,-0.9664391346723,0.214,0.48,1
"FCHSD2",0.000206147134563368,-1.30796867290208,0.184,0.441,1
"KLHL2",0.000220247767159941,-1.43734547645056,0.122,0.363,1
