"","Control","COVID"
"0",98.4197218710493,1.5802781289507
"1",85.4875283446712,14.5124716553288
"2",34.3015214384509,65.6984785615491
"3",98.2113821138211,1.78861788617886
"4",49.5479204339964,50.4520795660036
"5",51.024208566108,48.975791433892
"6",77.3455377574371,22.6544622425629
"7",98.394495412844,1.60550458715596
"8",2.23880597014925,97.7611940298508
"9",38.3378016085791,61.6621983914209
"10",66.7664670658683,33.2335329341317
"11",54.983922829582,45.016077170418
"12",99.6363636363636,0.363636363636364
"13",39.6363636363636,60.3636363636364
"14",0.833333333333333,99.1666666666667
"15",73.8461538461539,26.1538461538462
"16",58.421052631579,41.5789473684211
"17",56.1797752808989,43.8202247191011
"18",89.4117647058824,10.5882352941176
"19",27.027027027027,72.972972972973
