"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.04493073107009e-188,1.91530683829065,0.475,0.132,2.02643760184924e-183,"0","INPP5D"
7.15649906454558e-183,2.0693401237854,0.456,0.13,1.80265054936839e-178,"0","STK10"
2.49964191190687e-182,2.01392801781736,0.344,0.068,6.29634801190222e-178,"0","GNG2"
3.72989555600305e-173,1.43899531996707,0.631,0.26,9.39523391601609e-169,"0","PITPNC1"
1.90215427850238e-172,2.6936138454994,0.378,0.099,4.79133641211964e-168,"0","TTC39C"
5.74048427447383e-172,2.06572458714619,0.365,0.084,1.44597058389721e-167,"0","CYTIP"
1.74738253523707e-171,2.57349589551459,0.327,0.069,4.40148186800865e-167,"0","NLRC5"
4.34960704460681e-165,1.98072257474168,0.37,0.089,1.09562251846601e-160,"0","PPP1R16B"
7.32460117576043e-165,1.96415234485922,0.438,0.129,1.84499379016229e-160,"0","MYO1F"
7.79728262160974e-165,2.30849491763897,0.521,0.217,1.96405751955728e-160,"0","CASK"
1.36319970737058e-164,1.77277242529418,0.565,0.235,3.43376374289576e-160,"0","CDC42SE2"
7.82224017924219e-164,2.22965344314533,0.454,0.151,1.97034407874931e-159,"0","CCDC88C"
1.77233427967092e-162,2.5429579508877,0.331,0.075,4.46433281706307e-158,"0","ARHGAP25"
2.41223951740376e-161,3.0069122855471,0.261,0.045,6.07619012038832e-157,"0","RASGRP1"
8.35822989767168e-158,2.6767671352131,0.278,0.053,2.10535452892452e-153,"0","SP140"
3.15408193255866e-157,2.18487529598712,0.376,0.1,7.94481697992201e-153,"0","GPRIN3"
7.4687231789516e-153,2.42632087125101,0.333,0.081,1.88129668154612e-148,"0","SLA"
1.16523200613858e-150,1.94836020818307,0.408,0.122,2.93510290026246e-146,"0","AKNA"
1.41542654066691e-148,1.46876510280067,0.71,0.419,3.56531791328587e-144,"0","SYNE2"
1.45753178573847e-147,2.34832183005999,0.312,0.072,3.67137681509662e-143,"0","SEPTIN6"
