"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC011447.3",2.53495871969577e-10,-2.51145029383524,0.077,0.234,6.38530751904168e-06
"AFDN",4.02569160900464e-10,0.840356655415615,0.644,0.543,1.01403145939218e-05
"NPAS3",4.14230266154109e-10,-1.72452488143549,0.121,0.294,1.04340461741559e-05
"CFLAR-AS1",4.4149885291366e-10,-1.72050085161173,0.072,0.23,1.11209146060422e-05
"SYDE2",5.12539772798916e-10,-1.64682726784144,0.059,0.207,1.29103643370319e-05
"MT-ATP6",5.13056937239982e-10,-0.93100317311852,0.387,0.597,1.29233911921379e-05
"SYNE2",5.14584802581332e-10,0.581560472050833,0.812,0.718,1.29618765922212e-05
"RPA3",9.62329812610348e-10,-1.51589261222763,0.129,0.301,2.4240125649842e-05
"PCED1B",1.04506201045876e-09,-1.29153412992569,0.08,0.24,2.63240669814458e-05
"BX284613.2",1.10438266825832e-09,-1.21553252849733,0.314,0.493,2.78182950307588e-05
"TMEM241",1.2382567842281e-09,-1.66325168994717,0.095,0.257,3.11904501379215e-05
"CLASP1",1.2471960159153e-09,1.36114678033907,0.472,0.328,3.14156204448905e-05
"LINC01004",1.29973158960963e-09,-1.09078006997225,0.101,0.269,3.2738939010677e-05
"TOX",1.40189640594055e-09,-0.901848744286613,0.17,0.359,3.53123685692364e-05
"PER1",1.90542007422455e-09,1.72364986167922,0.302,0.148,4.79956262496421e-05
"CCDC18-AS1",2.26587580869225e-09,-0.921964114200205,0.204,0.397,5.70751457451491e-05
"ULK4",2.2756149468891e-09,0.645086532213811,0.657,0.52,5.73204648971894e-05
"ZBBX",2.30605951246864e-09,0.79288514060748,0.593,0.438,5.80873330595726e-05
"AL606516.1",2.56827614868226e-09,-1.54707165169525,0.116,0.28,6.46923079091576e-05
"CFAP100",2.86189116388042e-09,1.12465371399565,0.454,0.294,7.2088176526984e-05
"AC007780.1",3.13199501489433e-09,-1.41512422236563,0.113,0.276,7.88918224301733e-05
"NLRC3",3.25148198758737e-09,-1.81982112082342,0.134,0.294,8.19015797853382e-05
"TLCD4",3.46697039710892e-09,-1.87921117343043,0.103,0.255,8.73295173327766e-05
"ARSG",4.88173323581653e-09,-1.38515668971546,0.062,0.203,0.000122965978476982
"RNF145",5.82074098423004e-09,1.28955025873085,0.539,0.424,0.000146618644651771
"FAM13A",5.83109845970824e-09,0.785877618724726,0.683,0.603,0.000146879539101591
"ZNF721",7.25723540387734e-09,-1.0642652548231,0.142,0.313,0.000182802502588266
"DAB1",7.26746136954419e-09,-1.26381087738919,0.124,0.288,0.000183060084437449
"PDE4D",7.45033891646858e-09,0.492742555164231,0.869,0.791,0.000187666586966927
"WAKMAR2",7.87664570912157e-09,-1.69561420514171,0.214,0.372,0.000198404828767063
