"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04611","Platelet activation","3/9","126/9396",0.0238095238095238,24.8571428571429,8.34776230882377,0.000186470639082847,0.00857764939781096,0.00706625579682367,"6850/6916/54518",3
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","3/9","205/9396",0.0146341463414634,15.2780487804878,6.3998625518849,0.000780200398580624,0.0179446091673544,0.0147827443941592,"896/6850/2934",3
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","2/9","99/9396",0.0202020202020202,21.0909090909091,6.22231521765716,0.00377028571990489,0.0460664572238092,0.0379494842118337,"6850/2934",2
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","3/9","362/9396",0.00828729281767956,8.65193370165746,4.59718180005293,0.00400577888902688,0.0460664572238092,0.0379494842118337,"896/6850/3676",3
