"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.09419850558483e-215,1.56009718933728,0.718,0.357,5.27507661571763e-211,"0","FKBP5"
3.37318568467713e-214,2.31764090269398,0.382,0.088,8.49671742113322e-210,"0","ZC3HAV1"
6.70259005770917e-213,1.62966915413765,0.716,0.403,1.68831540963636e-208,"0","SYNE2"
4.17784027128421e-210,2.75585341367791,0.334,0.068,1.05235618593378e-205,"0","SLA"
2.98900728287803e-209,2.10927306135808,0.354,0.072,7.52901044484147e-205,"0","CYTIP"
9.57565605529724e-209,3.34898888191554,0.358,0.087,2.41201200376882e-204,"0","RUNX2"
1.77228093276537e-203,3.35658978624378,0.255,0.036,4.46419844154269e-199,"0","RASGRP1"
3.20255293576803e-203,2.29854502564528,0.503,0.188,8.06691058990609e-199,"0","KLF12"
4.96670469314321e-198,2.74975910232584,0.386,0.106,1.25106324515584e-193,"0","NCK2"
1.81578090132649e-196,1.86673260265287,0.492,0.162,4.57377051235129e-192,"0","FLI1"
1.09546054293142e-195,1.81742726228429,0.546,0.223,2.75935556158995e-191,"0","CDC42SE2"
1.33332426988351e-194,2.64829214100707,0.274,0.044,3.35851050340956e-190,"0","P2RY8"
5.71146511328869e-190,2.04102964559769,0.351,0.079,1.43866094738629e-185,"0","PPP1R16B"
4.17075477714802e-187,1.87761128964979,0.582,0.281,1.05057142081581e-182,"0","PPP2R5C"
4.97247277235907e-180,2.10891062097375,0.445,0.147,1.25251616662953e-175,"0","INPP4B"
1.94051622558913e-176,2.20177348113145,0.353,0.09,4.88796632063645e-172,"0","NFATC2"
3.86553802118755e-175,1.60221761864892,0.628,0.331,9.73690372156932e-171,"0","CBLB"
1.74445901716623e-172,2.1804038133255,0.479,0.192,4.39411781834003e-168,"0","ATM"
4.33407973648002e-171,2.80032399079949,0.257,0.046,1.09171134482195e-166,"0","SP140"
5.76589626844883e-170,2.26282741773008,0.4,0.127,1.45237161105958e-165,"0","WIPF1"
9.89252740886422e-169,2.94630187537086,0.336,0.093,2.49182872901881e-164,"0","OXNAD1"
1.70155725008639e-168,2.55391745011708,0.303,0.069,4.28605255724261e-164,"0","ARHGAP25"
6.13610977748394e-166,2.31149649484543,0.438,0.166,1.54562469185043e-161,"0","EVL"
7.59196281569455e-164,1.78090723170683,0.549,0.267,1.9123395136453e-159,"0","RASA2"
1.95901633377693e-163,2.46878417988787,0.28,0.058,4.9345662431507e-159,"0","RCSD1"
6.4429341480661e-163,2.4800175004009,0.253,0.046,1.62291068255637e-158,"0","PTPN22"
3.0032015146756e-161,2.64487357084162,0.265,0.053,7.56476429531636e-157,"0","CD53"
1.33263125337399e-157,2.39338760554219,0.289,0.065,3.35676486412374e-153,"0","SEPTIN6"
1.64597906288314e-152,1.89502776627302,0.418,0.148,4.14605666149635e-148,"0","STK4"
4.95259950791541e-152,2.59477110549283,0.331,0.095,1.24751029004881e-147,"0","TTC39C"
1.24758500069262e-151,2.26015387324459,0.333,0.093,3.14254185824463e-147,"0","ZFP36L2"
4.38327439147125e-151,2.09317625977246,0.339,0.095,1.10410298646769e-146,"0","GPRIN3"
2.74335553755507e-146,1.2666936830784,0.43,0.155,6.91023826354747e-142,"0","CNOT6L"
5.53158252168143e-144,2.55331500338489,0.292,0.076,1.39335032138634e-139,"0","TSPAN5"
4.50365634900319e-143,2.43908503219552,0.287,0.072,1.13442599775041e-138,"0","SORL1"
1.08613662074893e-141,2.40500233251365,0.291,0.075,2.73586953400448e-137,"0","LCP2"
2.17629802264002e-139,1.2481338111713,0.552,0.262,5.48187708922794e-135,"0","FNBP1"
9.17044181259096e-139,3.45541829170714,0.257,0.061,2.30994258817354e-134,"0","AC013652.1"
7.19677524031646e-138,1.74811712447656,0.497,0.237,1.81279571528331e-133,"0","AAK1"
6.45858575006999e-136,2.18395903001128,0.417,0.175,1.62685316458513e-131,"0","STK39"
3.34940356376378e-134,2.11607778002563,0.366,0.127,8.43681263676458e-130,"0","TXNIP"
7.4658733808789e-134,2.38866713877042,0.26,0.062,1.88057884590959e-129,"0","LCP1"
1.91082097068237e-130,1.73119527609921,0.398,0.147,4.81316694305182e-126,"0","SFMBT2"
2.83066772776784e-128,2.16651773381059,0.348,0.12,7.13016893947442e-124,"0","KAT2B"
8.41307538868827e-128,2.65987905713559,0.29,0.086,2.11916955965669e-123,"0","ARHGEF1"
