"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.13633194787118e-301,5.18458442454149,0.714,0.054,5.38120654349271e-297,"17","TMTC1"
0,15.3550264683081,0.304,0,0,"18","FCRL5"
0,11.8511651035602,0.32,0,0,"18","IGHA1"
0,10.752467199898,0.403,0,0,"18","IGKC"
0,7.96894893306183,0.254,0.001,0,"18","IGHM"
0,7.68443708111009,0.431,0.008,0,"18","AL589693.1"
0,11.2532047101553,0.482,0,0,"19","HDC"
0,11.1413147372284,0.647,0.001,0,"19","MS4A2"
0,10.7560590642439,0.7,0.002,0,"19","AC092979.1"
0,10.1437722892586,0.718,0.002,0,"19","CPA3"
0,10.1325812664526,0.671,0.002,0,"19","CDK15"
0,11.0164162986938,0.473,0.001,0,"20","AL357507.1"
0,10.028246414934,0.582,0.001,0,"20","RELN"
0,9.72780927555926,0.345,0.001,0,"20","AC093912.1"
0,9.13382605822791,0.291,0.001,0,"20","LINC01748"
0,9.04454604990252,0.264,0.001,0,"20","CCL21"
