"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CRYBG1",4.80487340257183e-08,1.18293504570771,0.44,0.304,0.00121029956137382
"SLAMF6",5.03456103166683e-08,-1.93594756132926,0.051,0.214,0.00126815557826656
"INSYN2B",5.12924554178982e-08,-1.93752816105842,0.042,0.202,0.00129200565952144
"TNFAIP8",5.90987851206447e-08,-0.722771201429984,0.25,0.495,0.00148863929840392
"PYHIN1",5.91321570288819e-08,-1.81375679437642,0.051,0.214,0.00148947990340051
"CASP8",6.63308470511323e-08,-1.22359456279561,0.102,0.296,0.00167080770637097
"PCCA",6.84342310941219e-08,-1.70787895021065,0.056,0.221,0.00172378984702984
"ERICH1",7.15433508449295e-08,-1.67271440978883,0.046,0.209,0.00180210546443293
"MT-ND5",7.42099769727187e-08,-2.20119636717496,0.046,0.2,0.00186927510996581
"RUNX3",7.43653737547303e-08,1.41275999807815,0.343,0.211,0.0018731893995079
"ZFP36L2",8.04608937936389e-08,-0.878984386808897,0.176,0.397,0.00202672945376797
"LINC01138",9.63968415426893e-08,-1.62658928925559,0.056,0.22,0.0024281400416188
"EIF4G3",1.01139572109274e-07,-1.63273712231423,0.065,0.23,0.00254760468186049
"NSD1",1.07259526181654e-07,-1.30458679940884,0.074,0.252,0.00270176020498969
"AKT3",1.10912424513074e-07,0.823937445677243,0.602,0.54,0.00279377306105983
"PNN",1.12154786174283e-07,-1.33876545569474,0.051,0.217,0.00282506690894401
"FAM172A",1.13733580408341e-07,-0.801752532742585,0.19,0.428,0.0028648351569057
"PPP2R2B",1.33017452256087e-07,-1.22539499702976,0.125,0.316,0.00335057660487856
"NLRC5",1.33239384345117e-07,-1.04722366690322,0.12,0.319,0.00335616685226915
"NSMCE2",1.44144889412085e-07,-1.22903718928903,0.088,0.264,0.003630865619401
"TSPAN5",1.4621728960007e-07,-0.839818295599883,0.12,0.325,0.00368306730773617
"RFFL",2.0823144435426e-07,-1.42603186618005,0.065,0.23,0.00524514185183945
"SCML4",2.30958990336481e-07,-0.942519485290424,0.171,0.378,0.00581762600758562
"R3HDM2",2.39235264197955e-07,-1.19021076046534,0.12,0.309,0.00602609706988228
"ARID1A",2.44388968739901e-07,-1.19333821949827,0.083,0.256,0.00615591373358937
"ANKHD1",3.05438644529795e-07,-1.01972178541991,0.12,0.315,0.00769369401706099
"ARL15",3.50160277869216e-07,-0.722601916220861,0.245,0.481,0.00882018723924768
"ANKRD44",3.75635827196998e-07,-0.485381452695323,0.519,0.763,0.00946189085126518
"PIBF1",3.96475549289621e-07,-1.15884809634312,0.069,0.235,0.00998682261105626
"CEMIP2",4.6424077116703e-07,1.44561958318555,0.375,0.253,0.0116937607849263
"EPC1",5.04283862521441e-07,-0.866413984451995,0.153,0.353,0.0127024062130526
"DOCK8",6.00412652338168e-07,-0.578942968596559,0.361,0.602,0.0151237942997461
"CLK1",6.12931841785412e-07,1.69109406484106,0.259,0.143,0.0154391401627327
"SYNE1",6.34340188798372e-07,-1.03081510427982,0.148,0.334,0.0159783950156422
"ABR",6.42366919309162e-07,-1.21863684698043,0.06,0.211,0.0161805803304785
"NCK2",7.46616745983055e-07,-0.676383719631376,0.255,0.479,0.0188065292145672
"GPCPD1",7.95731560050871e-07,1.28236490019075,0.352,0.233,0.0200436822661214
"SP140",8.13831655464095e-07,-0.804604567330935,0.116,0.304,0.0204996055694851
"PTPN22",8.56361461489249e-07,1.26138098646896,0.366,0.252,0.0215708888534527
"FAM49B",8.83140454171379e-07,-0.493346090135393,0.227,0.456,0.0222454249001229
"LINC01578",8.91567303240746e-07,1.57525938440045,0.259,0.147,0.0224576888013311
"FBXL17",9.14555366709622e-07,-0.848525243385861,0.19,0.38,0.0230367351320487
"BORCS5",9.76799898061491e-07,1.53354822010475,0.231,0.117,0.0246046126322709
"PDE8A",1.03853915524155e-06,1.76238262787918,0.231,0.117,0.0261597627813794
"AC118549.1",1.10752634451791e-06,-1.36051953385344,0.056,0.2,0.0278974810920616
"FOXO3",1.14940514451919e-06,-1.34690353460729,0.06,0.208,0.0289523661852939
"MPHOSPH8",1.21824890093979e-06,-1.04324453906599,0.083,0.248,0.0306864715657724
"KMT2E",1.24039875767782e-06,1.03461991271005,0.495,0.419,0.0312444043071466
"SRGN",1.2956875227707e-06,1.54371898358335,0.222,0.111,0.0326370730110713
"MACF1",1.35219576522954e-06,-0.575877727941057,0.435,0.674,0.0340604591303669
"KIAA0825",1.42208434169254e-06,-1.42823891119648,0.111,0.274,0.0358208824828933
"DNAJB6",1.60768680248714e-06,1.45882804385758,0.292,0.176,0.0404960228678486
"FYB1",1.64367613488284e-06,-0.520054051059047,0.366,0.6,0.0414025581615639
"AOAH",1.73783546869988e-06,-0.490170528249423,0.31,0.542,0.0437743376210812
"SAMD3",1.74318378106609e-06,-1.0594458010031,0.134,0.31,0.0439090562612737
"RORA",1.91486304756916e-06,1.04124989544673,0.625,0.574,0.0482334853052195
"ARHGEF3",2.00356789625105e-06,-0.780313781183732,0.204,0.402,0.0504678717386677
"DDX17",2.10601852223083e-06,-0.633577583039717,0.245,0.471,0.0530485005564724
"GSK3B",2.33473805512841e-06,-0.836365295550631,0.111,0.284,0.0588097168706294
"UMAD1",2.60652599754623e-06,-1.32717944376555,0.079,0.229,0.065655783352192
"RNF149",2.72387053523487e-06,1.12808741714853,0.426,0.34,0.0686115749120311
"BTD",2.94700038092096e-06,-1.47446939703405,0.065,0.208,0.0742319925950179
"ATM",3.22081940698989e-06,-0.641942357579354,0.218,0.429,0.0811292200426684
"SERINC5",3.52436552456701e-06,-0.636778856484624,0.153,0.34,0.0887752431983183
"COA1",3.71857077555165e-06,-0.991888869812074,0.079,0.229,0.0936670792653705
"CCDC7",3.75948583618306e-06,-1.00033350842313,0.088,0.244,0.094697688727615
"ARIH1",3.86234612299553e-06,1.15689345941474,0.352,0.235,0.0972886364921344
"SNX9",4.34208194776631e-06,1.70504177029405,0.218,0.114,0.109372702182286
"BCAS3",4.58334765696275e-06,-0.855008995046973,0.19,0.372,0.115449944131235
"HMGB1",4.63392580172971e-06,-1.06436772129237,0.097,0.254,0.11672395701977
"DIPK1A",6.20814462088093e-06,-0.663619402015073,0.148,0.327,0.15637695485537
"SH3KBP1",6.2351705936239e-06,-0.531860199676472,0.222,0.432,0.157057712082792
"STK39",7.15911736964334e-06,-0.505227252041782,0.19,0.394,0.180331007423946
"BCL2",7.39803111746268e-06,-0.657780695621831,0.398,0.589,0.186349005817767
"CHD6",7.71610334884834e-06,-0.897552816878029,0.069,0.211,0.194360927254141
"RNF19A",7.91728489459795e-06,1.28020590729374,0.403,0.304,0.199428489210028
"PVT1",8.32196442117027e-06,-0.87277111378882,0.116,0.278,0.209621961804858
"STIM1",8.76600015343837e-06,-0.737997003129067,0.236,0.426,0.220806777864959
"AC068587.4",8.84895978319446e-06,-0.804788198393541,0.139,0.307,0.222896447978885
"CD69",9.09422180441687e-06,1.54393630885741,0.292,0.192,0.229074353031456
"SPG11",9.58319785772222e-06,-1.12826902011732,0.093,0.238,0.241391170838165
"GPATCH8",9.69418394202189e-06,-0.646381613546441,0.125,0.293,0.244186799315589
"DENND1B",9.9876828686159e-06,-0.546251978902583,0.12,0.286,0.251579743777566
"ADAM19",1.05841624894246e-05,-0.697759712455978,0.134,0.3,0.266604468946116
"MVB12B",1.12298515923441e-05,-0.96017361731474,0.097,0.245,0.282868731759556
"MAP4",1.19020388305477e-05,-0.806241390531616,0.106,0.261,0.299800456102666
"CAMK2D",1.1928393520367e-05,-0.662251874464509,0.171,0.35,0.300464304384524
"VPS13B",1.29638218349374e-05,-0.426496796073678,0.282,0.511,0.326545708200239
"GRK5",1.29750884042696e-05,1.86498485174452,0.222,0.125,0.326829501815146
"CWF19L2",1.32604734347416e-05,-1.01983646286759,0.074,0.211,0.334018065347705
"ASCC3",1.37789201945293e-05,-0.850762894322728,0.102,0.252,0.347077220779999
"STX8",1.38335558521529e-05,-0.699105062185505,0.13,0.292,0.34845343835988
"STK10",1.3923471621377e-05,-0.53753517345834,0.241,0.464,0.350718326670865
"PPP1R12A",1.53056005745162e-05,-0.687641742280404,0.19,0.377,0.385532772871489
"SMAP1",1.63966031550898e-05,-0.971964987563256,0.088,0.228,0.413014036873556
"ESYT2",1.81735105279389e-05,1.06645284384989,0.403,0.315,0.457772556688252
"UBE2D3",1.85893882346206e-05,1.19390510789665,0.301,0.198,0.468248100241858
"ASH1L",1.95678533571755e-05,-0.621838267148217,0.222,0.422,0.492894658213894
"PHF14",1.96651057419933e-05,-0.728592631899386,0.102,0.253,0.49534434853507
"APBA2",2.11137477010033e-05,-0.771068195179744,0.157,0.319,0.531834190840573
"AC010894.3",2.20152610114512e-05,-0.892913200241317,0.088,0.228,0.554542409617444
"PHTF2",2.2108908247536e-05,-0.748082507563835,0.153,0.319,0.556901289847184
"APBB1IP",2.25061621244972e-05,-0.607984098323371,0.269,0.481,0.566907717753961
"FLI1",2.27529185635547e-05,-0.528915961852551,0.278,0.492,0.573123265697378
"MAPKAP1",2.30026955827349e-05,-1.0329576974784,0.074,0.207,0.579414899033508
"ITPR1",2.37873273372079e-05,-0.900091781529552,0.12,0.272,0.599178988296929
"RASA1",2.44940782709129e-05,-0.711779721027754,0.222,0.411,0.616981337566025
