"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CTNNA1",1.07363394876085e-29,1.26109328830746,0.724,0.6,2.70437655353371e-25
"NRG1",3.55659885737799e-29,-1.61905446941838,0.251,0.579,8.95871686184942e-25
"TACC1",5.00201511412298e-29,-0.977473245512895,0.659,0.859,1.25995758709644e-24
"CAPN2",5.2099529245307e-29,-1.3992552264656,0.198,0.535,1.31233504216004e-24
"ST6GALNAC5",1.28001964641645e-28,-1.01194092244438,0.498,0.782,3.2242414873584e-24
"SLC45A4",3.90113806576627e-28,2.3915587610094,0.365,0.134,9.82657667385865e-24
"LINC01290",4.38743387931089e-28,-0.871200780705077,0.614,0.845,1.10515071985962e-23
"DLC1",6.1024220555661e-28,0.946259628240488,0.833,0.749,1.53713909157655e-23
"VCL",1.54811899950309e-27,-1.26692340935934,0.229,0.557,3.89955694784834e-23
"AKAP7",1.88479883396224e-27,-1.55502747027815,0.157,0.462,4.74761978286748e-23
"CHSY3",2.61074664790072e-27,-1.95475589905943,0.1,0.379,6.57620973139714e-23
"NAMPT",3.74959258229626e-27,2.86524391417694,0.276,0.07,9.44484875554606e-23
"FRY",4.01942133493459e-27,-1.25049900970004,0.29,0.604,1.01245204005667e-22
"PTPN14",6.92780805071036e-27,-1.38697358668513,0.206,0.523,1.74504556989343e-22
"FGD6",7.92753968894396e-27,-2.66810479732241,0.045,0.293,1.99686797224809e-22
"SLC38A2",1.38745491743163e-26,3.3694497320886,0.235,0.05,3.49486019151854e-22
"NAV2",1.56747374331514e-26,-0.737877891705685,0.635,0.874,3.94830961203652e-22
"ESYT2",1.61938181856079e-26,1.42296712619574,0.635,0.486,4.07906086277277e-22
"YEATS2",3.9831450233775e-26,-1.32877704767727,0.171,0.487,1.00331439993856e-21
"MBNL2",5.88095466364476e-26,-1.50859651753314,0.167,0.47,1.48135367022548e-21
"GRAMD2A",6.54307088362149e-26,-1.3966748122389,0.12,0.419,1.64813412487542e-21
"SLC44A3",6.57968422636931e-26,-2.26610822487837,0.063,0.32,1.65735665978017e-21
"NFIA",1.20902760278865e-25,-1.80566326778251,0.092,0.356,3.04541962866433e-21
"PITPNC1",1.37246674377158e-25,-2.89632792431135,0.033,0.263,3.45710648088624e-21
"PTK2",1.5038614996969e-25,1.47192408338584,0.571,0.355,3.78807673158652e-21
"MAML2",1.60149048049548e-25,-1.05956820132022,0.327,0.647,4.03399437132007e-21
"WWC2",1.97686326048216e-25,-0.831944996314378,0.549,0.813,4.97952086682851e-21
"ACADL",3.10367532866758e-25,-1.69402953249663,0.12,0.4,7.81784778538076e-21
"HOPX",5.07059901559727e-25,-1.17378121213664,0.259,0.575,1.2772331860388e-20
"ANKS1B",5.70878060275682e-25,-1.39378124350227,0.108,0.391,1.43798474602841e-20
"TM7SF3",8.94863607796363e-25,-1.60696306552237,0.08,0.345,2.25407194167826e-20
"DIAPH3",9.74464078768772e-25,-2.02363463256803,0.088,0.346,2.45457756801066e-20
"AC111152.2",1.03351366629435e-24,-3.89328490247569,0.016,0.224,2.60331757402885e-20
"NEXN",1.08639905192563e-24,-1.4845041091666,0.092,0.361,2.73653057189546e-20
"IFT57",1.13064224520691e-24,-1.5765563253675,0.133,0.416,2.84797475145169e-20
"TANC1",1.25871831777193e-24,1.15368842793869,0.68,0.552,3.17058557063571e-20
"NR4A1",2.07681255028499e-24,2.31654655395323,0.324,0.117,5.23128313291287e-20
"VEGFA",2.4840951442246e-24,0.883748967517859,0.773,0.686,6.25718725878735e-20
"LDLRAD4",2.75865467769054e-24,-3.00803575948985,0.035,0.254,6.94877526763471e-20
"CYP4B1",3.24105214284734e-24,-1.09341215847248,0.255,0.581,8.16388624261816e-20
"NPNT",5.17795715411566e-24,-0.88376024216563,0.339,0.658,1.30427562755019e-19
"CNKSR3",5.38296312903262e-24,-1.22284409172359,0.171,0.47,1.35591458257203e-19
"CFLAR",1.21091757591873e-23,-0.803798736856546,0.465,0.778,3.0501802819817e-19
"GPM6A",1.38113238739263e-23,-1.02240113797346,0.506,0.762,3.47893437060329e-19
"SH3RF1",1.60898240460504e-23,-0.875249762327694,0.541,0.804,4.05286577895964e-19
"SNX25",3.92400472662733e-23,-0.833388323219936,0.455,0.738,9.88417550590157e-19
"PLCG2",5.91353018112428e-23,2.08696414411953,0.369,0.169,1.48955911732339e-18
"TOP1",7.99032806790305e-23,1.60371175327347,0.543,0.363,2.0126837370241e-18
"RANBP9",9.11656770776862e-23,2.73967642724907,0.271,0.087,2.29637223990984e-18
"ATP13A4",1.04493440293415e-22,-0.68556481438681,0.545,0.831,2.63208526755083e-18
"PPM1L",1.08048023397473e-22,-1.4491388566632,0.21,0.486,2.72162166135894e-18
"RFX2",1.26820567280855e-22,-0.833525807537481,0.437,0.739,3.19448326923746e-18
"LRIG1",1.38870906972881e-22,-1.65151295538034,0.08,0.326,3.4980192757399e-18
"ITPR2",1.46673047957689e-22,-1.47784911002665,0.104,0.363,3.69454740500623e-18
"EXT1",2.18213002699263e-22,-0.912586498078845,0.58,0.824,5.49656732499174e-18
"PTPRQ",2.75789183447479e-22,-1.7551878981458,0.09,0.331,6.94685374185854e-18
"CAT",3.38362395457805e-22,-1.57714205245458,0.096,0.35,8.52301037918666e-18
"MGST1",4.27043299279821e-22,-1.61139309505793,0.116,0.373,1.07567936655594e-17
"ANXA2",5.33921743920056e-22,-0.858278104673892,0.388,0.702,1.34489548076023e-17
"SESTD1",5.54693778369964e-22,-0.938338747252704,0.392,0.674,1.3972181583361e-17
"RHOBTB3",5.77734376809746e-22,-1.28760711270821,0.149,0.421,1.45525512174607e-17
"LRIG2",9.82722686941179e-22,-1.63886628160629,0.137,0.39,2.47538017613614e-17
"SRPX2",1.15540172402051e-21,-2.19976118376381,0.055,0.275,2.91034140263525e-17
"ST6GAL1",1.65857349115716e-21,-1.22958839790046,0.19,0.47,4.17778076687578e-17
"LIN7A",2.97110347816848e-21,-2.42412587929696,0.043,0.252,7.48391255115857e-17
"EMP2",4.43614213920619e-21,-0.581587654013767,0.884,0.945,1.11741984344465e-16
"SYT1",4.93098361084458e-21,-1.47561199451656,0.169,0.428,1.24206546173564e-16
"AC097662.1",7.84595242393599e-21,-1.01421671956202,0.276,0.564,1.97631695606524e-16
"SEPTIN9",8.12123714602804e-21,2.54513885138312,0.263,0.087,2.045658424713e-16
"PRKCE",8.57447176745247e-21,-1.12616973981545,0.282,0.579,2.1598236935036e-16
"TMEM245",1.25407845705824e-20,-1.32141371769869,0.104,0.346,3.158898225484e-16
"SCAI",1.87239567590174e-20,-0.72503529382226,0.459,0.753,4.71637746802889e-16
"CPM",2.06514517742815e-20,-0.867220672281074,0.414,0.706,5.20189418742376e-16
"AC006994.2",4.95180651143409e-20,-1.92460201848354,0.059,0.27,1.24731054216513e-15
"EDIL3",5.26924216491557e-20,-1.54440864084745,0.094,0.323,1.32726940892058e-15
"FRMD3",6.0570377415115e-20,-1.52738734896874,0.09,0.316,1.52570723670933e-15
"NCKAP5",7.94264314569242e-20,-0.498290578581421,0.961,0.94,2.00067238196846e-15
"PLEKHA5",7.98436507418888e-20,-1.3337197455203,0.129,0.376,2.01118171853744e-15
"PEBP4",1.18223828945451e-19,-1.14326308722948,0.171,0.436,2.97794002730696e-15
"CCBE1",1.23175087901801e-19,1.83329420572301,0.41,0.216,3.10265728915846e-15
"ELL2",1.78655185146042e-19,1.64672870383853,0.437,0.251,4.50014545864366e-15
"HOMER1",2.05998004658949e-19,-1.30790898360009,0.149,0.397,5.18888373935427e-15
"ARHGAP42",3.4766745714015e-19,1.32819785279879,0.573,0.434,8.75739557790325e-15
"AL592183.1",4.28535746162775e-19,-2.47068953269789,0.039,0.226,1.07943869100941e-14
"PPP6R3",4.37704362796942e-19,1.35022146794011,0.571,0.442,1.10253351944922e-14
"SFTA3",5.98315155403726e-19,-0.763631076747403,0.478,0.74,1.50709604494645e-14
